1, 5.67e-05, 5.45e-05, 5.44e-05, 5.52e-05
2, 3.11e-05, 3.05e-05, 2.93e-05, 3.03e-05
3, 2.96e-05, 5.91e-05, 4.7e-05, 4.52333e-05
4, 9.45e-05, 1.69e-05, 1.76e-05, 4.3e-05
5, 1.53e-05, 1.57e-05, 1.58e-05, 1.56e-05
6, 1.6e-05, 1.6e-05, 1.54e-05, 1.58e-05
7, 1.62e-05, 1.62e-05, 1.61e-05, 1.61667e-05
8, 1.13e-05, 1.02e-05, 1.05e-05, 1.06667e-05
9, 9.2e-06, 9.2e-06, 9.3e-06, 9.23333e-06
10, 9.2e-06, 9.5e-06, 8.8e-06, 9.16667e-06
11, 9.8e-06, 8.7e-06, 9.1e-06, 9.2e-06
12, 9.8e-06, 9.4e-06, 9.4e-06, 9.53333e-06
13, 1.01e-05, 8.7e-06, 9e-06, 9.26667e-06
14, 9.2e-06, 9.3e-06, 1.06e-05, 9.7e-06
15, 1e-05, 1.02e-05, 9.6e-06, 9.93333e-06
16, 8.1e-06, 7.4e-06, 6.8e-06, 7.43333e-06
17, 5.6e-06, 5.2e-06, 5.8e-06, 5.53333e-06
18, 5.7e-06, 5.4e-06, 5.5e-06, 5.53333e-06
19, 5e-06, 5.1e-06, 5.6e-06, 5.23333e-06
20, 5.4e-06, 5.2e-06, 5.2e-06, 5.26667e-06
21, 5.8e-06, 5.5e-06, 5.8e-06, 5.7e-06
22, 5.9e-06, 5e-06, 5.1e-06, 5.33333e-06
23, 5.3e-06, 5.4e-06, 5.2e-06, 5.3e-06
24, 6e-06, 5.5e-06, 5.2e-06, 5.56667e-06
25, 5.6e-06, 5.7e-06, 5.8e-06, 5.7e-06
26, 5.8e-06, 5.6e-06, 5.4e-06, 5.6e-06
27, 5.2e-06, 5.4e-06, 5.9e-06, 5.5e-06
28, 8.2e-06, 1.05e-05, 7.3e-06, 8.66667e-06
29, 7.9e-06, 6.8e-06, 6.2e-06, 6.96667e-06
30, 6e-06, 5.1e-06, 6e-06, 5.7e-06
31, 5.5e-06, 5.7e-06, 5.8e-06, 5.66667e-06
32, 6.3e-06, 5.5e-06, 5.6e-06, 5.8e-06
33, 3.2e-06, 3.3e-06, 3e-06, 3.16667e-06
34, 3.6e-06, 2.7e-06, 3.3e-06, 3.2e-06
35, 3.9e-06, 2.7e-06, 3.1e-06, 3.23333e-06
36, 3.3e-06, 3.7e-06, 3.2e-06, 3.4e-06
37, 2.7e-06, 2.7e-06, 2.8e-06, 2.73333e-06
38, 4e-06, 4.3e-06, 4.6e-06, 4.3e-06
39, 3.5e-06, 3.3e-06, 2.8e-06, 3.2e-06
40, 3.4e-06, 3.2e-06, 2.9e-06, 3.16667e-06
41, 3.5e-06, 3.2e-06, 3.3e-06, 3.33333e-06
42, 3.6e-06, 3.5e-06, 3.1e-06, 3.4e-06
43, 3.2e-06, 2.9e-06, 3.4e-06, 3.16667e-06
44, 3.5e-06, 2.9e-06, 3.7e-06, 3.36667e-06
45, 3.5e-06, 3.1e-06, 3.4e-06, 3.33333e-06
46, 4.7e-06, 3.7e-06, 4.1e-06, 4.16667e-06
47, 3.8e-06, 3.1e-06, 3.3e-06, 3.4e-06
48, 3.3e-06, 3e-06, 2.9e-06, 3.06667e-06
49, 3.9e-06, 3.9e-06, 3.7e-06, 3.83333e-06
50, 3e-06, 3.3e-06, 3.3e-06, 3.2e-06
51, 3.2e-06, 3e-06, 3.3e-06, 3.16667e-06
52, 3.9e-06, 3.2e-06, 3.2e-06, 3.43333e-06
53, 3.5e-06, 2.5e-06, 3.5e-06, 3.16667e-06
54, 3.2e-06, 2.6e-06, 2.6e-06, 2.8e-06
55, 4.5e-06, 3.3e-06, 3.5e-06, 3.76667e-06
56, 4.1e-06, 2.9e-06, 3e-06, 3.33333e-06
57, 2.9e-06, 2.9e-06, 3.2e-06, 3e-06
58, 3.1e-06, 2.7e-06, 3.6e-06, 3.13333e-06
59, 3.5e-06, 2.8e-06, 2.8e-06, 3.03333e-06
60, 3.4e-06, 2.9e-06, 3.7e-06, 3.33333e-06
61, 3.3e-06, 3.6e-06, 3.4e-06, 3.43333e-06
62, 3.2e-06, 2.5e-06, 3.1e-06, 2.93333e-06
63, 3.4e-06, 3e-06, 2.8e-06, 3.06667e-06
64, 3.2e-06, 3.6e-06, 3.5e-06, 3.43333e-06
65, 3.3e-06, 3.3e-06, 3.1e-06, 3.23333e-06
66, 3.8e-06, 3.4e-06, 2.9e-06, 3.36667e-06
67, 3.3e-06, 3e-06, 3.8e-06, 3.36667e-06
68, 3.1e-06, 3.4e-06, 2.8e-06, 3.1e-06
69, 3.7e-06, 3.1e-06, 3.4e-06, 3.4e-06
70, 3.2e-06, 2.8e-06, 3.1e-06, 3.03333e-06
71, 3.3e-06, 3.6e-06, 3.4e-06, 3.43333e-06
72, 4e-06, 4.2e-06, 3.4e-06, 3.86667e-06
73, 3.4e-06, 3.4e-06, 3.5e-06, 3.43333e-06
74, 3.1e-06, 3.2e-06, 3e-06, 3.1e-06
75, 4.8e-06, 4.4e-06, 3.7e-06, 4.3e-06
76, 3e-06, 3.9e-06, 3.1e-06, 3.33333e-06
77, 2.5e-06, 2.7e-06, 2.8e-06, 2.66667e-06
78, 3.2e-06, 2.6e-06, 3.5e-06, 3.1e-06
79, 3.2e-06, 3.1e-06, 3.2e-06, 3.16667e-06
80, 3e-06, 3.8e-06, 3e-06, 3.26667e-06
81, 3.1e-06, 2.9e-06, 3e-06, 3e-06
82, 3.1e-06, 3.7e-06, 3.3e-06, 3.36667e-06
83, 3e-06, 3.3e-06, 3.2e-06, 3.16667e-06
84, 3.5e-06, 2.9e-06, 3.4e-06, 3.26667e-06
85, 3e-06, 2.6e-06, 3.3e-06, 2.96667e-06
86, 4.1e-06, 3.2e-06, 3.3e-06, 3.53333e-06
87, 3.5e-06, 3.7e-06, 2.9e-06, 3.36667e-06
88, 3.3e-06, 2.7e-06, 2.1e-06, 2.7e-06
89, 3.5e-06, 3.2e-06, 3.3e-06, 3.33333e-06
90, 4.1e-06, 2.9e-06, 3.1e-06, 3.36667e-06
91, 3.1e-06, 3.3e-06, 3.4e-06, 3.26667e-06
92, 2.9e-06, 3.8e-06, 3.2e-06, 3.3e-06
93, 3.3e-06, 3e-06, 2.8e-06, 3.03333e-06
94, 3.2e-06, 2.9e-06, 3.6e-06, 3.23333e-06
95, 4.7e-06, 4.2e-06, 4e-06, 4.3e-06
96, 3e-06, 3e-06, 2.7e-06, 2.9e-06
97, 3.2e-06, 2.6e-06, 3.4e-06, 3.06667e-06
98, 3e-06, 3.9e-06, 3.5e-06, 3.46667e-06
99, 3.2e-06, 3.4e-06, 3.7e-06, 3.43333e-06
100, 3.2e-06, 3.5e-06, 3.5e-06, 3.4e-06
101, 2.8e-06, 2.7e-06, 3.2e-06, 2.9e-06
102, 2.6e-06, 3.5e-06, 3.2e-06, 3.1e-06
103, 3.1e-06, 3.2e-06, 3.2e-06, 3.16667e-06
104, 3.2e-06, 3.5e-06, 3.1e-06, 3.26667e-06
105, 3.7e-06, 3.7e-06, 2.4e-06, 3.26667e-06
106, 3.4e-06, 3.2e-06, 3.6e-06, 3.4e-06
107, 3.5e-06, 3.2e-06, 3.8e-06, 3.5e-06
108, 3.6e-06, 2.8e-06, 3e-06, 3.13333e-06
109, 3.5e-06, 3.5e-06, 3.8e-06, 3.6e-06
110, 3.7e-06, 2.8e-06, 2.9e-06, 3.13333e-06
111, 3.7e-06, 3.3e-06, 3.6e-06, 3.53333e-06
112, 3.7e-06, 3.2e-06, 3.2e-06, 3.36667e-06
113, 3.5e-06, 3.2e-06, 3.2e-06, 3.3e-06
114, 3.2e-06, 3.7e-06, 3.1e-06, 3.33333e-06
115, 2.7e-06, 3.3e-06, 3.1e-06, 3.03333e-06
116, 3.7e-06, 3.6e-06, 2.6e-06, 3.3e-06
117, 5.3e-06, 4e-06, 4.4e-06, 4.56667e-06
118, 4.1e-06, 4.1e-06, 3.9e-06, 4.03333e-06
119, 3e-06, 3.1e-06, 3.4e-06, 3.16667e-06
120, 2.9e-06, 3.2e-06, 3.2e-06, 3.1e-06
121, 3.4e-06, 2.9e-06, 3e-06, 3.1e-06
122, 3.3e-06, 3.2e-06, 3.7e-06, 3.4e-06
123, 3.8e-06, 3.2e-06, 2.9e-06, 3.3e-06
124, 4.6e-06, 3.8e-06, 4.1e-06, 4.16667e-06
125, 3.5e-06, 3e-06, 3.2e-06, 3.23333e-06
126, 2.9e-06, 3.5e-06, 2.3e-06, 2.9e-06
127, 3.3e-06, 3e-06, 3.2e-06, 3.16667e-06
128, 3.6e-06, 3.4e-06, 3.7e-06, 3.56667e-06
129, 2.9e-06, 3.2e-06, 3.4e-06, 3.16667e-06
130, 4e-06, 4e-06, 4.2e-06, 4.06667e-06
131, 3.6e-06, 2.8e-06, 3.1e-06, 3.16667e-06
132, 3.5e-06, 3.2e-06, 3.4e-06, 3.36667e-06
133, 3.4e-06, 2.8e-06, 2.8e-06, 3e-06
134, 3.5e-06, 3.5e-06, 3.1e-06, 3.36667e-06
135, 3.5e-06, 2.8e-06, 3.4e-06, 3.23333e-06
136, 4.2e-06, 4.2e-06, 4.4e-06, 4.26667e-06
137, 3.4e-06, 3e-06, 3.3e-06, 3.23333e-06
138, 3.3e-06, 2.7e-06, 2.8e-06, 2.93333e-06
139, 2.9e-06, 2.6e-06, 4.1e-06, 3.2e-06
140, 3e-06, 3.3e-06, 3.4e-06, 3.23333e-06
141, 3.2e-06, 2.6e-06, 3.2e-06, 3e-06
142, 3.4e-06, 3.1e-06, 2.8e-06, 3.1e-06
143, 2.9e-06, 3.3e-06, 2.9e-06, 3.03333e-06
144, 3.4e-06, 3.1e-06, 3.6e-06, 3.36667e-06
145, 4.8e-06, 3.3e-06, 3e-06, 3.7e-06
146, 2.6e-06, 2.7e-06, 3.5e-06, 2.93333e-06
147, 3.1e-06, 3.7e-06, 3.4e-06, 3.4e-06
148, 3.2e-06, 3e-06, 2.8e-06, 3e-06
149, 3.8e-06, 3.6e-06, 3.4e-06, 3.6e-06
150, 2.9e-06, 2.9e-06, 2.8e-06, 2.86667e-06
151, 4.5e-06, 3.7e-06, 4.1e-06, 4.1e-06
152, 3.5e-06, 3e-06, 3.3e-06, 3.26667e-06
153, 3.8e-06, 3.2e-06, 5e-06, 4e-06
154, 3.3e-06, 3.4e-06, 3.3e-06, 3.33333e-06
155, 4.3e-06, 4.3e-06, 4.2e-06, 4.26667e-06
156, 3.4e-06, 3e-06, 3.3e-06, 3.23333e-06
157, 4.1e-06, 3.8e-06, 3.2e-06, 3.7e-06
158, 3.3e-06, 2.5e-06, 3e-06, 2.93333e-06
159, 3.3e-06, 3.6e-06, 3.1e-06, 3.33333e-06
160, 3.7e-06, 3.8e-06, 3.4e-06, 3.63333e-06
161, 3.2e-06, 3e-06, 3.2e-06, 3.13333e-06
162, 3.7e-06, 3.3e-06, 3e-06, 3.33333e-06
163, 4.7e-06, 3.4e-06, 3.9e-06, 4e-06
164, 3.5e-06, 3.4e-06, 2.5e-06, 3.13333e-06
165, 4.2e-06, 4.3e-06, 3.8e-06, 4.1e-06
166, 3.4e-06, 3.2e-06, 3.2e-06, 3.26667e-06
167, 3e-06, 3.2e-06, 3.5e-06, 3.23333e-06
168, 3.3e-06, 2.7e-06, 2.8e-06, 2.93333e-06
169, 3.3e-06, 3.2e-06, 2.9e-06, 3.13333e-06
170, 3.4e-06, 3.2e-06, 3.5e-06, 3.36667e-06
171, 3.7e-06, 2.9e-06, 3.2e-06, 3.26667e-06
172, 3.7e-06, 3.2e-06, 3.2e-06, 3.36667e-06
173, 3.5e-06, 2.7e-06, 3.3e-06, 3.16667e-06
174, 3.5e-06, 3.2e-06, 2.9e-06, 3.2e-06
175, 3.3e-06, 3.1e-06, 3.2e-06, 3.2e-06
176, 3.4e-06, 3.4e-06, 3.2e-06, 3.33333e-06
177, 3.7e-06, 2.7e-06, 3.1e-06, 3.16667e-06
178, 2.7e-06, 3.1e-06, 3.1e-06, 2.96667e-06
179, 3.6e-06, 3.5e-06, 3.7e-06, 3.6e-06
180, 3.7e-06, 3.9e-06, 2.9e-06, 3.5e-06
181, 3.6e-06, 2.8e-06, 3.3e-06, 3.23333e-06
182, 3.5e-06, 3.1e-06, 3.3e-06, 3.3e-06
183, 4.1e-06, 3.7e-06, 4.3e-06, 4.03333e-06
184, 3.3e-06, 3.3e-06, 3.6e-06, 3.4e-06
185, 3e-06, 3.2e-06, 3.1e-06, 3.1e-06
186, 3.5e-06, 3.4e-06, 3.2e-06, 3.36667e-06
187, 3e-06, 3.1e-06, 3e-06, 3.03333e-06
188, 3.1e-06, 3.1e-06, 3.4e-06, 3.2e-06
189, 3.4e-06, 3e-06, 2.7e-06, 3.03333e-06
190, 3.1e-06, 3.3e-06, 3e-06, 3.13333e-06
191, 3.4e-06, 3.1e-06, 2.7e-06, 3.06667e-06
192, 4.4e-06, 4.4e-06, 3.4e-06, 4.06667e-06
193, 4e-06, 3.8e-06, 4e-06, 3.93333e-06
194, 4.1e-06, 4.2e-06, 4.6e-06, 4.3e-06
195, 3.6e-06, 3.8e-06, 3.2e-06, 3.53333e-06
196, 3.9e-06, 3.7e-06, 3.1e-06, 3.56667e-06
197, 3.1e-06, 2.7e-06, 3.4e-06, 3.06667e-06
198, 3.2e-06, 3.2e-06, 2.8e-06, 3.06667e-06
199, 3.2e-06, 3.3e-06, 3.1e-06, 3.2e-06
200, 3.4e-06, 3.2e-06, 3.1e-06, 3.23333e-06
201, 3.4e-06, 3.7e-06, 3.5e-06, 3.53333e-06
202, 3.4e-06, 3.1e-06, 2.9e-06, 3.13333e-06
203, 2.7e-06, 2.9e-06, 2.9e-06, 2.83333e-06
204, 3e-06, 3.6e-06, 2.9e-06, 3.16667e-06
205, 2.9e-06, 3.3e-06, 3.6e-06, 3.26667e-06
206, 3.4e-06, 3.2e-06, 2.8e-06, 3.13333e-06
207, 3.5e-06, 3.1e-06, 3.4e-06, 3.33333e-06
208, 4.9e-06, 3.3e-06, 4e-06, 4.06667e-06
209, 3.5e-06, 3.1e-06, 2.8e-06, 3.13333e-06
210, 3.2e-06, 3.2e-06, 2.9e-06, 3.1e-06
211, 4e-06, 3e-06, 2.8e-06, 3.26667e-06
212, 3.4e-06, 2.8e-06, 2.6e-06, 2.93333e-06
213, 2.9e-06, 3.3e-06, 3.5e-06, 3.23333e-06
214, 2.7e-06, 3e-06, 2.7e-06, 2.8e-06
215, 3.9e-06, 3e-06, 3.4e-06, 3.43333e-06
216, 3.5e-06, 3.3e-06, 3.3e-06, 3.36667e-06
217, 2.8e-06, 3.1e-06, 3.1e-06, 3e-06
218, 3e-06, 2.3e-06, 3e-06, 2.76667e-06
219, 3.6e-06, 2.9e-06, 2.9e-06, 3.13333e-06
220, 3.1e-06, 2.7e-06, 3.1e-06, 2.96667e-06
221, 3.4e-06, 3.3e-06, 3.5e-06, 3.4e-06
222, 3.8e-06, 2.8e-06, 3.1e-06, 3.23333e-06
223, 2.9e-06, 2.9e-06, 3.5e-06, 3.1e-06
224, 3.3e-06, 2.8e-06, 3.5e-06, 3.2e-06
225, 2.9e-06, 3.2e-06, 2.8e-06, 2.96667e-06
226, 3.2e-06, 3.5e-06, 3.6e-06, 3.43333e-06
227, 3.5e-06, 3.3e-06, 3.4e-06, 3.4e-06
228, 3.8e-06, 3.1e-06, 3.2e-06, 3.36667e-06
229, 2.8e-06, 3.1e-06, 3e-06, 2.96667e-06
230, 3.1e-06, 2.7e-06, 3.3e-06, 3.03333e-06
231, 3.2e-06, 3.4e-06, 3e-06, 3.2e-06
232, 3.3e-06, 3.6e-06, 2.9e-06, 3.26667e-06
233, 3.4e-06, 2.8e-06, 3.1e-06, 3.1e-06
234, 3.7e-06, 3.4e-06, 3.1e-06, 3.4e-06
235, 5e-06, 3.2e-06, 3.3e-06, 3.83333e-06
236, 3.2e-06, 3.8e-06, 3.2e-06, 3.4e-06
237, 4.1e-06, 3.3e-06, 3.5e-06, 3.63333e-06
238, 4.1e-06, 3.4e-06, 3.1e-06, 3.53333e-06
239, 3.8e-06, 3.3e-06, 3.4e-06, 3.5e-06
240, 3.8e-06, 3.7e-06, 3.5e-06, 3.66667e-06
241, 3.4e-06, 3.1e-06, 3.2e-06, 3.23333e-06
242, 2.9e-06, 3.3e-06, 3.4e-06, 3.2e-06
243, 3.4e-06, 3.2e-06, 3.7e-06, 3.43333e-06
244, 3.4e-06, 3e-06, 2.8e-06, 3.06667e-06
245, 3.7e-06, 2.8e-06, 3.4e-06, 3.3e-06
246, 3.3e-06, 3.3e-06, 3e-06, 3.2e-06
247, 4.4e-06, 4.6e-06, 2.9e-06, 3.96667e-06
248, 4.1e-06, 3.9e-06, 4e-06, 4e-06
249, 3.8e-06, 3.6e-06, 2.9e-06, 3.43333e-06
250, 3.8e-06, 3.7e-06, 3.7e-06, 3.73333e-06
251, 2.8e-06, 3.7e-06, 3e-06, 3.16667e-06
252, 5e-06, 4e-06, 4.4e-06, 4.46667e-06
253, 3.7e-06, 3.5e-06, 3.1e-06, 3.43333e-06
254, 3.1e-06, 3.9e-06, 4.2e-06, 3.73333e-06
255, 3e-06, 2.6e-06, 3.3e-06, 2.96667e-06
256, 3.4e-06, 3.4e-06, 3.2e-06, 3.33333e-06
257, 3.4e-06, 3.2e-06, 3.4e-06, 3.33333e-06
258, 3.1e-06, 3.4e-06, 2.8e-06, 3.1e-06
259, 4.2e-06, 3.5e-06, 3.7e-06, 3.8e-06
260, 3.2e-06, 3.5e-06, 3.8e-06, 3.5e-06
261, 3.8e-06, 2.6e-06, 3.1e-06, 3.16667e-06
262, 3.4e-06, 3.3e-06, 3e-06, 3.23333e-06
263, 2.9e-06, 3.3e-06, 3.3e-06, 3.16667e-06
264, 2.7e-06, 2.8e-06, 3.3e-06, 2.93333e-06
265, 3.3e-06, 2.5e-06, 2.7e-06, 2.83333e-06
266, 3e-06, 3.6e-06, 2.8e-06, 3.13333e-06
267, 3.7e-06, 3.6e-06, 3.4e-06, 3.56667e-06
268, 3.1e-06, 3.2e-06, 3.1e-06, 3.13333e-06
269, 3.5e-06, 2.9e-06, 3.4e-06, 3.26667e-06
270, 2.9e-06, 3.2e-06, 2.8e-06, 2.96667e-06
271, 3.2e-06, 2.8e-06, 3.1e-06, 3.03333e-06
272, 2.8e-06, 3e-06, 3.5e-06, 3.1e-06
273, 3.4e-06, 3.5e-06, 3.6e-06, 3.5e-06
274, 3.2e-06, 3.4e-06, 3.4e-06, 3.33333e-06
275, 3.7e-06, 3.4e-06, 3.4e-06, 3.5e-06
276, 3.7e-06, 3.2e-06, 3.3e-06, 3.4e-06
277, 3.1e-06, 2.7e-06, 3.5e-06, 3.1e-06
278, 3.6e-06, 3.6e-06, 4.4e-06, 3.86667e-06
279, 3.6e-06, 2.9e-06, 3e-06, 3.16667e-06
280, 3.4e-06, 4.7e-06, 4.2e-06, 4.1e-06
281, 3e-06, 3e-06, 3.7e-06, 3.23333e-06
282, 4e-06, 2.7e-06, 3e-06, 3.23333e-06
283, 3.7e-06, 3.3e-06, 3.2e-06, 3.4e-06
284, 3.7e-06, 3.4e-06, 3.3e-06, 3.46667e-06
285, 3.6e-06, 3.6e-06, 2.9e-06, 3.36667e-06
286, 3.4e-06, 3.1e-06, 3.4e-06, 3.3e-06
287, 2.8e-06, 3.2e-06, 3.2e-06, 3.06667e-06
288, 3.3e-06, 3.1e-06, 2.8e-06, 3.06667e-06
289, 3.4e-06, 3.6e-06, 3.1e-06, 3.36667e-06
290, 4e-06, 3.1e-06, 3.1e-06, 3.4e-06
291, 3.7e-06, 3.2e-06, 3.1e-06, 3.33333e-06
292, 3e-06, 3.3e-06, 3.2e-06, 3.16667e-06
293, 3.8e-06, 3.3e-06, 3.1e-06, 3.4e-06
294, 3.4e-06, 3.3e-06, 2.9e-06, 3.2e-06
295, 3.3e-06, 3.7e-06, 4.1e-06, 3.7e-06
296, 3e-06, 3.5e-06, 3e-06, 3.16667e-06
297, 3.4e-06, 3.8e-06, 4e-06, 3.73333e-06
298, 4e-06, 3.3e-06, 3.4e-06, 3.56667e-06
299, 3.5e-06, 2.7e-06, 3.3e-06, 3.16667e-06
300, 4.6e-06, 5.3e-06, 5.6e-06, 5.16667e-06
